,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,Node.0,setNamedItem.0,Node.1,arg.0,try.0,return.0,NodeImpl.0,build.0,XMLParserImpl.0,setNamedItem.1,this.0,getJsObject.0,DOMItem.0,arg.1,).0,getJsObject.1,catch.0,JavaScriptException.0,e.0,throw.0,new.0,DOMNodeException.0,DOMNodeException.1,INVALID_MODIFICATION_ERR.0,e.1,this.1,prewritten,accurate,missing,unnecessary,readable,code
0,136,setNamedItem,1810886,1209704912918,18219311636,1,1,"(0.7097226977348328, 0.21705710887908936)","(0.7074257135391235, 0.23658649623394012)",1,1,2.6616668701171875,2.634613037109375,,POINT (0.7085742056369781 0.2268218025565147),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setNamedItem,1810886,1209704921251,18219319969,1,1,"(0.7107183337211609, 0.21083636581897736)","(0.7096971869468689, 0.23612342774868011)",1,1,2.6537322998046875,2.6334991455078125,Fixation,POINT (0.7102077603340149 0.2234798967838287),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setNamedItem,1810886,1209704929584,18219328302,1,1,"(0.712152898311615, 0.2114429771900177)","(0.7114046216011047, 0.23840315639972687)",1,1,2.660751342773437,2.61676025390625,Fixation,POINT (0.7117787599563599 0.2249230667948723),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setNamedItem,1810886,1209704937918,18219336636,1,1,"(0.7118898630142212, 0.2081226259469986)","(0.7107557058334351, 0.24389535188674927)",1,1,2.6690216064453125,2.633941650390625,Fixation,POINT (0.7113227844238281 0.2260089889168739),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setNamedItem,1810886,1209704946251,18219344969,1,1,"(0.7111029624938965, 0.21669119596481323)","(0.7081519365310669, 0.240974560379982)",1,1,2.653045654296875,2.64825439453125,Fixation,POINT (0.7096274495124817 0.2288328781723976),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setNamedItem,1810886,1209704954587,18219353305,1,1,"(0.709031343460083, 0.21445463597774506)","(0.7067674994468689, 0.2340952306985855)",1,1,2.6595916748046875,2.629013061523437,Fixation,POINT (0.707899421453476 0.2242749333381653),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setNamedItem,1810886,1209704962920,18219361638,1,1,"(0.7096412181854248, 0.20754922926425934)","(0.7074903845787048, 0.23668232560157776)",1,1,2.6572723388671875,2.6526031494140625,Fixation,POINT (0.7085658013820648 0.2221157774329186),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setNamedItem,1810886,1209704971254,18219369972,1,1,"(0.7120324373245239, 0.21592767536640167)","(0.7068238258361816, 0.2387498915195465)",1,1,2.6596832275390625,2.6400146484375,Fixation,POINT (0.7094281315803528 0.2273387834429741),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setNamedItem,1810886,1209704979586,18219378304,1,1,"(0.7075432538986206, 0.20887835323810577)","(0.7076678276062012, 0.2383086085319519)",1,1,2.6658172607421875,2.65087890625,Fixation,POINT (0.7076055407524109 0.2235934808850288),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setNamedItem,1810886,1209704987920,18219386638,1,1,"(0.709334671497345, 0.21672028303146362)","(0.7063125371932983, 0.2445540428161621)",1,1,2.6705780029296875,2.6605987548828125,Fixation,POINT (0.7078236043453217 0.2306371629238129),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setNamedItem,1810886,1209704996253,18219394971,1,1,"(0.7104875445365906, 0.20939864218235016)","(0.7064980864524841, 0.2350625991821289)",1,1,2.6636505126953125,2.650253295898437,Fixation,POINT (0.7084928154945374 0.2222306206822395),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setNamedItem,1810886,1209705004586,18219403304,1,1,"(0.7087393999099731, 0.21356898546218872)","(0.7071873545646667, 0.23534926772117615)",1,1,2.677886962890625,2.6514434814453125,Fixation,POINT (0.70796337723732 0.2244591265916824),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setNamedItem,1810886,1209705012920,18219411638,1,1,"(0.7090415358543396, 0.2088678479194641)","(0.708025336265564, 0.23967112600803375)",1,1,2.6702117919921875,2.6473541259765625,Fixation,POINT (0.7085334360599518 0.2242694869637489),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
