,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,private.0,String.0,readResponse.0,InputStream.0,stream.0,BufferedReader.0,input.0,=.0,new.0,BufferedReader.1,new.1,InputStreamReader.0,stream.1,StringBuffer.0,sb.0,=.1,new.2,StringBuffer.1,String.1,line.0,try.0,line.1,=.2,input.1,readLine.0,catch.0,IOException.0,e.0,line.2,=.3,nan.0,while.0,line.3,!=.0,nan.1,if.0,trim.0,equals.0,""""".0",if.1,sb.1,length.0,>.0,0.0,sb.2,append.0,"""|n"".0",sb.3,append.1,line.5,try.1,line.6,=.4,input.2,readLine.1,catch.1,IOException.1,e.1,line.7,=.5,nan.2,return.0,sb.4,toString.0,prewritten,accurate,missing,unnecessary,readable,code
0,136,readResponse,28953715,1210205623892,18720020709,1,1,"(0.6727239489555359, 0.215215802192688)","(0.6789044141769409, 0.21479876339435577)",1,1,2.488739013671875,2.4527740478515625,,POINT (0.6758141815662384 0.2150072827935219),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,readResponse,28953715,1210205632225,18720029042,1,1,"(0.6736600995063782, 0.21475866436958313)","(0.678757905960083, 0.21480029821395874)",1,1,2.4831695556640625,2.444244384765625,Fixation,POINT (0.6762090027332306 0.2147794812917709),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,readResponse,28953715,1210205640558,18720037375,1,1,"(0.6728715300559998, 0.22090424597263336)","(0.6799826622009277, 0.21827439963817596)",1,1,2.482666015625,2.448226928710937,Fixation,POINT (0.6764270961284637 0.2195893228054047),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,readResponse,28953715,1210205648892,18720045709,1,1,"(0.6721179485321045, 0.21451881527900696)","(0.6797279715538025, 0.21360284090042114)",1,1,2.4781036376953125,2.45611572265625,Fixation,POINT (0.6759229600429535 0.214060828089714),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,readResponse,28953715,1210205657225,18720054042,1,1,"(0.6738691329956055, 0.21930542588233948)","(0.6793369054794312, 0.21184293925762177)",1,1,2.488372802734375,2.4598388671875,Fixation,POINT (0.6766030192375183 0.2155741825699806),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,readResponse,28953715,1210205665558,18720062375,1,1,"(0.6717447638511658, 0.21689580380916595)","(0.6813246607780457, 0.2101217806339264)",1,1,2.4805145263671875,2.448394775390625,Fixation,POINT (0.6765347123146057 0.2135087922215462),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,readResponse,28953715,1210205673896,18720070713,1,1,"(0.6716919541358948, 0.21106445789337158)","(0.6782984733581543, 0.2117372304201126)",1,1,2.4692840576171875,2.448760986328125,Fixation,POINT (0.6749952137470245 0.2114008441567421),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,readResponse,28953715,1210205682230,18720079047,1,1,"(0.6720090508460999, 0.20834632217884064)","(0.6775033473968506, 0.21157222986221313)",1,1,2.47137451171875,2.449920654296875,Fixation,POINT (0.6747561991214752 0.2099592760205269),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,readResponse,28953715,1210205690563,18720087380,1,1,"(0.6726768612861633, 0.20766092836856842)","(0.678715705871582, 0.2091885805130005)",1,1,2.481170654296875,2.455841064453125,Fixation,POINT (0.6756962835788727 0.2084247544407844),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,readResponse,28953715,1210205698896,18720095713,1,1,"(0.669344425201416, 0.21661148965358734)","(0.6771987080574036, 0.21193255484104156)",1,1,2.4713287353515625,2.457504272460937,Fixation,POINT (0.6732715666294098 0.2142720222473144),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,readResponse,28953715,1210205707230,18720104047,1,1,"(0.6733646988868713, 0.20839866995811462)","(0.6789199113845825, 0.20791876316070557)",1,1,2.47930908203125,2.4435272216796875,Fixation,POINT (0.6761423051357269 0.2081587165594101),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,readResponse,28953715,1210205715566,18720112383,1,1,"(0.6713420748710632, 0.19906309247016907)","(0.6794804930686951, 0.2046821266412735)",1,1,2.44573974609375,2.4514923095703125,Fixation,POINT (0.6754112839698792 0.2018726095557213),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,readResponse,28953715,1210205723898,18720120715,1,1,"(0.6719948649406433, 0.21030203998088837)","(0.680310845375061, 0.20767498016357422)",1,1,2.4659423828125,2.457000732421875,Fixation,POINT (0.6761528551578522 0.2089885100722313),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,readResponse,28953715,1210205732232,18720129049,1,1,"(0.6728695631027222, 0.21118579804897308)","(0.6794717311859131, 0.20939713716506958)",1,1,2.4702301025390625,2.44805908203125,Fixation,POINT (0.6761706471443176 0.2102914676070213),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,readResponse,28953715,1210205740565,18720137382,1,1,"(0.6716699600219727, 0.21239477396011353)","(0.6816599369049072, 0.2076909989118576)",1,1,2.470184326171875,2.4492340087890625,Fixation,POINT (0.6766649484634399 0.2100428864359856),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,readResponse,28953715,1210205748899,18720145716,1,1,"(0.671128511428833, 0.21231451630592346)","(0.6805111169815063, 0.20940320193767548)",1,1,2.4835662841796875,2.46319580078125,Fixation,POINT (0.6758198142051697 0.2108588591217995),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,readResponse,28953715,1210205757232,18720154049,1,1,"(0.6724883913993835, 0.210209459066391)","(0.6784986257553101, 0.21055234968662262)",1,1,2.476425170898437,2.4559326171875,Fixation,POINT (0.6754935085773468 0.2103809043765068),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,readResponse,28953715,1210205765565,18720162382,1,1,"(0.674481213092804, 0.20892606675624847)","(0.6795722246170044, 0.212843656539917)",1,1,2.4824676513671875,2.468490600585937,Fixation,POINT (0.6770267188549042 0.2108848616480827),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,readResponse,28953715,1210205773898,18720170715,1,1,"(0.674954354763031, 0.21594269573688507)","(0.6773445010185242, 0.2156853973865509)",1,1,2.4779510498046875,2.46820068359375,Fixation,POINT (0.6761494278907776 0.215814046561718),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,readResponse,28953715,1210205782232,18720179049,1,1,"(0.6707997918128967, 0.2098216414451599)","(0.6791407465934753, 0.21777820587158203)",1,1,2.476898193359375,2.46319580078125,Fixation,POINT (0.674970269203186 0.213799923658371),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,readResponse,28953715,1210205790566,18720187382,1,1,"(0.6729329824447632, 0.21001119911670685)","(0.677922785282135, 0.21505039930343628)",1,1,2.4863433837890625,2.4748687744140625,Fixation,POINT (0.6754278838634491 0.2125307992100716),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,readResponse,28953715,1210205798901,18720195717,1,1,"(0.6727798581123352, 0.20657923817634583)","(0.6783015131950378, 0.2143547236919403)",1,1,2.4728546142578125,2.464996337890625,Fixation,POINT (0.6755406856536865 0.2104669809341431),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,readResponse,28953715,1210205807234,18720204050,1,1,"(0.6722337603569031, 0.20803116261959076)","(0.6800414323806763, 0.2165316492319107)",1,1,2.491973876953125,2.472076416015625,Fixation,POINT (0.6761375963687897 0.2122814059257507),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,readResponse,28953715,1210205815569,18720212385,1,1,"(0.673721194267273, 0.21060755848884583)","(0.6778935194015503, 0.21622389554977417)",1,1,2.487030029296875,2.459197998046875,Fixation,POINT (0.6758073568344116 0.21341572701931),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,readResponse,28953715,1210205823900,18720220716,1,1,"(0.6724601984024048, 0.21164502203464508)","(0.6765015721321106, 0.21547436714172363)",1,1,2.4925537109375,2.46240234375,Fixation,POINT (0.6744808852672577 0.2135596945881844),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,readResponse,28953715,1210205832234,18720229050,1,1,"(0.6735390424728394, 0.2147088348865509)","(0.6776900887489319, 0.21280217170715332)",1,1,2.488998413085937,2.473617553710937,Fixation,POINT (0.6756145656108856 0.2137555032968521),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,readResponse,28953715,1210205840567,18720237383,1,1,"(0.6708433032035828, 0.21337515115737915)","(0.6769170165061951, 0.2195245325565338)",1,1,2.494415283203125,2.4658203125,Fixation,POINT (0.6738801598548889 0.2164498418569565),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,readResponse,28953715,1210205848901,18720245717,1,1,"(0.6723166108131409, 0.20819437503814697)","(0.6751875877380371, 0.21453674137592316)",1,1,2.481201171875,2.478515625,Fixation,POINT (0.673752099275589 0.2113655582070351),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,readResponse,28953715,1210205857234,18720254050,1,1,"(0.6715257167816162, 0.21453116834163666)","(0.6745895147323608, 0.21643571555614471)",1,1,2.505889892578125,2.47808837890625,Fixation,POINT (0.6730576157569885 0.2154834419488907),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
