,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,connectionErrorOccurred.0,ConnectionEvent.0,event.0,logger.0,warn.0,"""Received Connection Error event from a conection in pool "".100",+.0,info.0,getName.0,if.0,info.1,isRemoveOnExceptions.0,checkIn.0,event.1,getSource.0,TRUE.0,logger.1,warn.1,"""removeOnExceptions == TRUE closed connection"".101",prewritten,accurate,missing,unnecessary,readable,code
0,136,connectionErrorOccurred,26412118,1208949583819,17463985239,1,1,"(0.676805853843689, 0.4301435351371765)","(0.6809720993041992, 0.44963517785072327)",1,1,2.4519805908203125,2.474029541015625,,POINT (0.6788889765739441 0.4398893564939499),,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,connectionErrorOccurred,26412118,1208949592153,17463993573,1,1,"(0.6799948811531067, 0.4310460090637207)","(0.6794484257698059, 0.44067877531051636)",1,1,2.462890625,2.47503662109375,Fixation,POINT (0.6797216534614563 0.4358623921871185),,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,connectionErrorOccurred,26412118,1208949600486,17464001906,1,1,"(0.6808300614356995, 0.4288005232810974)","(0.6779599785804749, 0.4435579180717468)",1,1,2.4704132080078125,2.4904022216796875,Fixation,POINT (0.6793950200080872 0.4361792206764221),,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,connectionErrorOccurred,26412118,1208949608819,17464010239,1,1,"(0.6783459186553955, 0.4211404323577881)","(0.6779638528823853, 0.43981683254241943)",1,1,2.4315185546875,2.4741668701171875,Fixation,POINT (0.6781548857688904 0.4304786324501038),,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,connectionErrorOccurred,26412118,1208949617153,17464018573,1,1,"(0.6793341040611267, 0.4248192608356476)","(0.6814707517623901, 0.4332629144191742)",1,1,2.419830322265625,2.45867919921875,Fixation,POINT (0.6804024279117584 0.4290410876274109),,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,connectionErrorOccurred,26412118,1208949625486,17464026906,1,1,"(0.6753764152526855, 0.4350584149360657)","(0.6759254336357117, 0.4461521804332733)",1,1,2.4504547119140625,2.4633941650390625,Fixation,POINT (0.6756509244441986 0.4406052976846695),,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,connectionErrorOccurred,26412118,1208949633820,17464035240,1,1,"(0.6813518404960632, 0.4193922281265259)","(0.6764307618141174, 0.4470500946044922)",1,1,2.43658447265625,2.4520416259765625,Fixation,POINT (0.6788913011550903 0.433221161365509),,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,connectionErrorOccurred,26412118,1208949642154,17464043574,1,1,"(0.6808654069900513, 0.4306914210319519)","(0.6756433844566345, 0.44529056549072266)",1,1,2.4357452392578125,2.443603515625,Fixation,POINT (0.6782543957233429 0.4379909932613373),,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,connectionErrorOccurred,26412118,1208949650487,17464051907,1,1,"(0.6748302578926086, 0.43663376569747925)","(0.6780079007148743, 0.43536701798439026)",1,1,2.4384307861328125,2.452545166015625,Fixation,POINT (0.6764190793037415 0.4360003918409348),,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,connectionErrorOccurred,26412118,1208949658820,17464060240,1,1,"(0.6758372783660889, 0.43439579010009766)","(0.6780617833137512, 0.4535932242870331)",1,1,2.425384521484375,2.444686889648437,Fixation,POINT (0.67694953083992 0.4439945071935654),,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,connectionErrorOccurred,26412118,1208949667154,17464068574,1,1,"(0.6777154803276062, 0.42559972405433655)","(0.674525260925293, 0.44916003942489624)",1,1,2.410858154296875,2.43359375,Fixation,POINT (0.6761203706264496 0.4373798817396164),,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,connectionErrorOccurred,26412118,1208949675487,17464076907,1,1,"(0.6797089576721191, 0.42541685700416565)","(0.6763470768928528, 0.4405975043773651)",1,1,2.4298553466796875,2.412582397460937,Fixation,POINT (0.678028017282486 0.4330071806907654),,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,connectionErrorOccurred,26412118,1208949683820,17464085240,1,1,"(0.6781293153762817, 0.4326034486293793)","(0.6824002861976624, 0.44147250056266785)",1,1,2.423568725585937,2.4429168701171875,Fixation,POINT (0.680264800786972 0.4370379745960236),,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,connectionErrorOccurred,26412118,1208949692157,17464093577,1,1,"(0.6752588152885437, 0.4124601483345032)","(0.6823380589485168, 0.4405227601528168)",1,1,2.4154815673828125,2.4457244873046875,Fixation,POINT (0.6787984371185303 0.42649145424366),,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,connectionErrorOccurred,26412118,1208949700491,17464101911,1,1,"(0.6823304891586304, 0.4069254398345947)","(0.6771152019500732, 0.42899850010871887)",1,1,2.3835906982421875,2.4359283447265625,Fixation,POINT (0.6797228455543518 0.4179619699716568),,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,connectionErrorOccurred,26412118,1208949708824,17464110244,1,1,"(0.6765895485877991, 0.41550394892692566)","(0.6796326041221619, 0.4369044899940491)",1,1,2.402252197265625,2.42767333984375,Fixation,POINT (0.6781110763549805 0.4262042194604874),,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,connectionErrorOccurred,26412118,1208949717157,17464118577,1,1,"(0.672358512878418, 0.42125463485717773)","(0.6806702017784119, 0.43773749470710754)",1,1,2.4028472900390625,2.4088134765625,Fixation,POINT (0.6765143573284149 0.4294960647821426),,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,connectionErrorOccurred,26412118,1208949725491,17464126911,1,1,"(0.675748348236084, 0.4221009314060211)","(0.6764115691184998, 0.44025471806526184)",1,1,2.41839599609375,2.413909912109375,Fixation,POINT (0.6760799586772919 0.4311778247356415),,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,connectionErrorOccurred,26412118,1208949733824,17464135244,1,1,"(0.674066960811615, 0.41920992732048035)","(0.6759982705116272, 0.4423605501651764)",1,1,2.386627197265625,2.446075439453125,Fixation,POINT (0.6750326156616211 0.4307852387428284),,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,connectionErrorOccurred,26412118,1208949742158,17464143578,1,1,"(0.6755847930908203, 0.41555681824684143)","(0.6816821098327637, 0.4333675503730774)",1,1,2.384628295898437,2.403060913085937,Fixation,POINT (0.678633451461792 0.4244621843099594),,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,connectionErrorOccurred,26412118,1208949750491,17464151911,1,1,"(0.679146945476532, 0.4360678195953369)","(0.6793016791343689, 0.4374372959136963)",1,1,2.4522857666015625,2.4298095703125,Fixation,POINT (0.6792243123054504 0.4367525577545166),,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,connectionErrorOccurred,26412118,1208949758824,17464160244,1,1,"(0.6752399206161499, 0.42025238275527954)","(0.6765223145484924, 0.45088016986846924)",1,1,2.39581298828125,2.4416961669921875,Fixation,POINT (0.6758811175823212 0.4355662763118744),,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,connectionErrorOccurred,26412118,1208949767157,17464168577,1,1,"(0.6738147735595703, 0.4299013614654541)","(0.6762184500694275, 0.44868773221969604)",1,1,2.39715576171875,2.409332275390625,Fixation,POINT (0.6750166118144989 0.4392945468425751),,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,connectionErrorOccurred,26412118,1208949775491,17464176911,1,1,"(0.6729005575180054, 0.43844953179359436)","(0.6786283254623413, 0.4403470754623413)",1,1,2.41656494140625,2.410507202148437,Fixation,POINT (0.6757644414901733 0.4393983036279678),,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,connectionErrorOccurred,26412118,1208949783824,17464185244,1,1,"(0.6771548986434937, 0.42437148094177246)","(0.6801767945289612, 0.4370335042476654)",1,1,2.3947906494140625,2.41015625,Fixation,POINT (0.6786658465862274 0.4307024925947189),,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,connectionErrorOccurred,26412118,1208949792157,17464193577,1,1,"(0.6806343793869019, 0.4205319583415985)","(0.678114652633667, 0.4505111873149872)",1,1,2.397567749023437,2.4084014892578125,Fixation,POINT (0.6793745160102844 0.4355215728282928),,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,connectionErrorOccurred,26412118,1208949800491,17464201911,1,1,"(0.6771824359893799, 0.4106203317642212)","(0.6788578033447266, 0.4527398347854614)",1,1,2.37176513671875,2.436187744140625,Fixation,POINT (0.6780201196670532 0.4316800832748413),,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,connectionErrorOccurred,26412118,1208949808824,17464210244,1,1,"(0.6787647604942322, 0.4277598559856415)","(0.6777665615081787, 0.4338874816894531)",1,1,2.413909912109375,2.4080963134765625,Fixation,POINT (0.6782656610012054 0.4308236688375473),,,,,,,,,,,,,,,,,,,,,,,1,,,,
