pid,public.0,WebImage.0,getImageWithSource.0,String.0,source.0,WebImage.1,images.0,=.0,getImages.0,for.0,int.0,i.0,=.1,0.0,i.1,<.0,images.1,length.0,i.2,if.0,HttpUnitUtils.0,matches.0,source.1,images.2,i.3,].0,getSource.0,return.0,images.3,i.4,return.1,nan.0,code,participant_summary
136,0,0,0.030954857140646448,0,0,0,0.016666999901644886,0,0.035419249965343624,0,0,0,0,0.016676000086590648,0.04166349989827722,0,0.016669000033289194,0,0,0,0.016666750016156584,0.025000000006652305,0.13333849993068725,0.029166000022087246,0.03333399991970509,0,0.0333339999585102,0,0.016667000018060207,0,0.016667000018060207,0.04166849981993437,0.9778174666532625,0.18788436364213174
176,0,0.03333500004373491,0.07500300009269267,0,0,0.14167100004851818,0.05000600009225309,0,0,0,0,0,0.016667000018060207,0,0.02917099988553673,0,0.04722199992587169,0.09000180000439287,0,0,0.07101743480028666,0.08333649998530746,0.03333300002850592,0.03333500004373491,0,0,0,0,0,0,0,0,0.9730361999850721,0.8469064999953844
155,0,0,0.0555588333227206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01667100004851818,0.041666499979328364,0,0,0,0,0.016667000018060207,0,0,0,0,0,0.6829238947401265,0.8722563333285507
117,0,0.025464722220527217,0.031112666676441827,0,0,0.024999999994179234,0,0,0.0166680000256747,0.016669999982696027,0,0.03333300002850592,0,0.016667000018060207,0,0,0.01666766667040065,0.09167499997420236,0.016669000004185364,0,0,0,0,0,0,0,0,0,0,0,0,0,1.301719250003225,0.6072446666619119
166,0.05833199998596683,0.039287714287638664,0.05666999996174127,0,0,0.0666703333457311,0.025002999987918884,0,0.06666599994059652,0,0.016667000018060207,0,0,0.04166600003372878,0,0,0,0,0,0,0.058333000051788986,0,0,0,0,0,0,0,0,0,0.033331000013276935,0.016667000018060207,0.4898993571488453,0.10833780001848936
317,0,0,0.04000050000613555,0.024999999994179234,0.008333499979926273,0.016671999997925013,0.05000249999769343,0,0.03518655555348636,0,0,0,0,0.016667000018060207,0,0,0.06666700000641868,0.016666999959852546,0.06667199998628348,0,0.011111333345373472,0,0.06666900002164766,0.016667000018060207,0,0,0,0.025003000017022714,0.07222466663612674,0,0,0.016669000033289194,0.9146187187488977,0.10983302564366171
168,0,0.016667000018060207,0.03750087499793153,0.038890833335851006,0.018750750008621253,0.04166824999265373,0.02249980000196956,0.016666999959852546,0.045830499977455474,0,0,0.033333999977912754,0,0.01666950000799261,0,0.016666000010445714,0.02083749999292195,0.03166740002343431,0.01666649998514913,0,0.034314647056710196,0.028704222246435367,0.038888666681790106,0.025000000023283064,0,0,0.0333360000513494,0,0,0,0,0,0.7853139361658906,0.14554114285731753
319,0,0,0.05000599997583777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05555633331338564,0,0,0.033334000036120415,0.01666650001425296,0,0,0,0,0,0,0,0,0,0.0666699999710545,0.2055637368323739,0.13917089998722076
182,0.11667200003284961,0.016668333342143644,0.022222999987813335,0,0,0.1055583333169731,0.016667000018060207,0,0.016666999959852546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3980536470600568,0.1863168928477015
129,0,0.04222533334201823,0.03621915385547954,0.016666999959852546,0,0.016666000010445714,0.05555733334040269,0,0,0,0.016666666643383603,0.025001500034704804,0,0.020833499991567805,0,0.022223000007215887,0.05476271429298712,0.10833800002001226,0,0,0.03333649999694899,0.03333300002850592,0,0,0,0,0,0,0,0,0,0,0.8615731153717766,0.3470335714186409
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,0,0.01666799999657087,0.03205392308210811,0.016664999988279305,0,0,0.023334199987584726,0,0.06666725000104634,0.02083350000611972,0.0500000000174623,0.01667099999031052,0,0,0,0.027778333324628573,0.03333385714878594,0,0,0,0.048334600002272056,0.05370566666372017,0.030304363640342755,0.06852188888135263,0.016667000018060207,0.016667000018060207,0.03333349998865742,0.016669999982696027,0,0,0,0,0.6148882702660017,0.3304046470567461
315,0,0.016666000010445714,0.022224066658721616,0.031251750006049406,0,0,0.03333900001598522,0,0.0472239999944577,0,0,0,0.016667000018060207,0.03333300002850592,0.022219333312629413,0,0.1000075000047218,0,0.10000400000717491,0,0.03518674074439332,0.03332766667396451,0.03889100001348803,0.02916749998985324,0.016666999959852546,0.03334299998823553,0,0.0166680000256747,0,0,0.022221999999601394,0.016673000005539507,0.6031483541689037,0.28839527271956095
133,0,0.03333435716506626,0.04413796296446688,0.03055616662216683,0,0.025001499995899696,0.023334200028330088,0,0.03333316669644167,0,0.01666949992068112,0,0.033334000036120415,0.033333999977912754,0.016668857108535513,0.01667100004851818,0.027778333324628573,0.05500219999812543,0.02222466670597593,0,0.016666000010445714,0,0.01666666668218871,0.030129384589739718,0.033340000081807375,0.01666400022804737,0,0.033337000058963895,0,0,0,0,1.0900407333470261,0.24500896668372055
143,0,0.02777783334022388,0.03257627272978425,0,0,0.030556333328907687,0.016671999997925013,0,0.03333299999940209,0,0.016665999981341884,0,0,0,0,0,0.016666999988956377,0.025000500012538396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3272423684278405,0.3228380869613434
311,0.022222000019003946,0.025000749999890104,0.03777980000401537,0,0,0.024999500019475818,0.02777866666050007,0,0,0,0.033337000058963895,0,0,0,0,0,0.0500040000770241,0.05833574998541735,0.02083375002257526,0,0,0.016665500006638467,0,0.04333440000191331,0,0,0,0,0,0,0,0,0.7220295600034297,0.15000483335461468
314,0,0.04583424999873387,0.03823699999723912,0,0,0.016669999982696027,0.027777666662586853,0,0,0,0.033334000036120415,0,0.022223000016917165,0.011112333333585411,0,0,0.01666899998963345,0.07222499999140079,0,0,0.019999599998118355,0.01666733333937979,0.03571500001375431,0.037039222231315866,0,0,0.016671999997925013,0,0.016667000018060207,0,0,0,2.202169499996671,0.8166954999906011
106,0.03750300001411233,0.030002400011289863,0.028646874998230487,0,0,0.020833499991567805,0.058338999981060624,0,0.016666000010445714,0.029168250010116026,0.0333379999792669,0,0.016666999988956377,0.016669500022544526,0,0,0.04666780000552535,0.030000200000358745,0.016666000010445714,0,0.016666999988956377,0,0,0,0,0,0,0,0,0,0,0,0.19744301282163434,0.20182026087169777
318,0,0,0,0.03333499998552725,0,0,0,0,0.016666250012349337,0,0,0,0,0,0,0,0,0,0.016667000018060207,0,0,0,0,0,0,0,0,0,0,0,0,0.03334199998062104,0.4393029285835967,0.2783454000018537
147,0,0.03653984614468824,0.053435029417468125,0.04999999993015081,0,0.02916774997720495,0.03888633335009217,0,0.0166664999560453,0,0.01667399995494634,0,0.0166664999560453,0.01904914283659309,0,0.027779666629309457,0.024999500019475818,0.050004249991616234,0.03333524995832704,0.0166680000256747,0.026388499963407714,0,0,0.024999999965075403,0,0.01667099999031052,0,0,0,0,0.033334000036120415,0,1.177075081064391,0.36030837254571346
191,0.043333799997344616,0.03804447825329945,0.031791370383601775,0.033334000036120415,0,0.023149555555493053,0.022222333316070337,0.02000120000448078,0.04000220000743866,0,0.022224666628365714,0,0.025000000023283064,0.033332999989700816,0,0.016666000010445714,0.019999600015580654,0.02778366665976743,0.05000399996060878,0,0,0.016667000018060207,0.037501499988138676,0.016667000018060207,0,0,0,0,0.0333329999120906,0,0.016667000018060207,0,0.6159864084657387,0.31920306060717185
189,0,0.024999500004923902,0.03985608696087223,0.020001000008778646,0,0.037500833335798234,0,0,0.025695750007192448,0,0.016666999988956377,0,0,0,0,0,0.04167024998605484,0.03333499998552725,0,0,0.031019944447002165,0.06666822222824623,0,0.03333299997029826,0,0,0,0,0.0916715000057593,0,0,0,0.8986462000010458,0.06354162499701488
316,0,0.03787954543738372,0.05151709092950279,0,0,0.041668333346024156,0.02619199999441792,0,0,0,0,0,0.02222366667895888,0.03333649999694899,0,0.03333300002850592,0.016666000010445714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5500204705989317,0.45001821213042026
312,0,0.022222000019003946,0.06250191668126111,0.06190657145011106,0,0,0.13333349995082244,0.01666500000283122,0.04444400003800789,0,0,0,0,0,0,0,0.18333499995060265,0,0,0,0.08333599998150021,0.0366666000103578,0.028571428564776267,0.050001999945379794,0,0,0,0,0,0,0,0,0.5750173571536185,0.9833949999883771
139,0,0,0.03666820000010678,0,0,0.0692337692307774,0.050760272727447125,0,0.059167600000000674,0,0.016666666666424135,0.016666999999870313,0,0.022224000000884796,0,0,0.02500175000022864,0.10000450000006822,0.04444633333332604,0.07083400000010442,0.052779166666823585,0.061114666666981066,0.06667050000032759,0.036668599999757134,0,0,0.016666999999870313,0,0,0,0,0,1.0042029999997908,0.42975445098033793
